BinomialReptileDatabase,Sex,Family,HigherTaxonomy,Superfamily,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Xenosaurus newmanorum,Male,Xenosauridae,Anguimorpha,Diploglossa,Xenosaurus_newmanorum,7,7,20.38,NA,106.42,28.06,21.65,13.31,30.07
Xenosaurus platyceps,Male,Xenosauridae,Anguimorpha,Diploglossa,Xenosaurus_platyceps,10,10,12.43,NA,89.37,22.35,18.99,10.37,24.21
Acanthodactylus pardalis,Male,Lacertidae,Lacertoidea,Scincomorpha,Acanthodactylus_pardalis,5,5,4.9,NA,59,14.4,9.5,8.1,NA
Callisaurus draconoides,Male,Phrynosomatidae,Iguania,Iguania,Callisaurus_draconoides,12,12,4.79,NA,83.04,15.66,12.59,8.8,NA
Aspidoscelis tigris,Male,Teiidae,Lacertoidea,Gymnophthalmoidea,Aspidoscelis_tigris,5,5,6.69,NA,77.26,18.97,10.28,8.87,NA
Smaug mossambicus,Male,Cordylidae,Scincoidea,Scincomorpha,Smaug_mossambicus,5,5,19.31,NA,109.03,30.29,24.93,13.92,NA
Corucia zebrata,Male,Scincidae,Scincoidea,Scincomorpha,Corucia_zebrata,2,2,206.85,NA,275,50.6,48.88,36.03,NA
Dipsosaurus dorsalis,Male,Iguanidae,Iguania,Iguania,Dipsosaurus_dorsalis,10,10,18.99,NA,125.74,22.38,19.15,14.17,NA
Eulamprus heatwolei,Male,Scincidae,Scincoidea,Scincomorpha,Eulamprus_heatwolei,3,3,16.66,NA,109.17,21.37,13.7,11.24,NA
Gallotia galloti,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_galloti,56,16,108.57,NA,109.65,28.18,18.62,14.79,NA
Archaeolacerta bedriagae,Male,Lacertidae,Lacertoidea,Scincomorpha,Archaeolacerta_bedriagae,14,14,7.2,NA,67.9,18.3,10.9,6.9,NA
Lacerta bilineata,Male,Lacertidae,Lacertoidea,Scincomorpha,Lacerta_bilineata,2,2,23.3,NA,90.4,24.4,15.8,11.8,NA
Latastia longicaudata,Male,Lacertidae,Lacertoidea,Scincomorpha,Latastia_longicaudata,3,3,7,NA,90.4,20.5,11.2,9.5,NA
Stellagama stellio,Male,Agamidae,Iguania,Iguania,Stellagama_stellio,4,4,22.23,NA,95.79,23.64,23.42,12.93,NA
Podarcis liolepis,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_liolepis,6,6,7.8,NA,63.7,16,9.1,7.2,NA
Podarcis hispanicus,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_hispanicus,10,10,4.3,NA,55.4,14.3,8.4,5.9,NA
Podarcis lilfordi,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_lilfordi,8,8,10.71,NA,62.08,16.44,9.63,7.71,NA
Podarcis tiliguerta,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_tiliguerta,18,18,3.6,NA,55.1,14.6,7.9,6,NA
Pogona vitticeps,Male,Agamidae,Iguania,Iguania,Pogona_vitticeps,8,8,112.39,NA,217.76,38.1,48.37,29.06,NA
Psammodromus algirus,Male,Lacertidae,Lacertoidea,Scincomorpha,Psammodromus_algirus,9,9,11.52,NA,74.84,18.34,11.61,8.77,NA
Sceloporus undulatus,Male,Phrynosomatidae,Iguania,Iguania,Sceloporus_undulatus,16,16,3.57,NA,59.64,12.8,10.7,7.17,NA
Tiliqua rugosa,Male,Scincidae,Scincoidea,Scincomorpha,Tiliqua_rugosa,13,13,161.64,NA,282.44,45.9,51.64,33.21,NA
Uromastix acanthinura,Male,Agamidae,Iguania,Iguania,Uromastix_acanthinura,4,4,68.39,NA,159.46,31.79,32.69,18.81,NA
Varanus exanthematicus,Male,Varanidae,Anguimorpha,Platynota,Varanus_exanthematicus,7,7,86.61,NA,237.9,48.01,33.58,23.99,NA
Salvator merianae,Male,Teiidae,Lacertoidea,Gymnophthalmoidea,Salvator_merianae,10,10,534.24,NA,425,99.65,NA,NA,NA
Gallotia intermedia,Male,Lacertidae,Lacertoidea,Scincomorpha,Gallotia_intermedia,1,1,121.9,123,154.8,42.3,28.4,20.3,34.6
Gekko gecko,Male,Gekkonidae,Gekkota,Gekkota,Gekko_gecko,5,5,29.1,33.7,123.9,NA,NA,NA,NA
Anolis carolinensis,Male,Dactyloidae,Iguania,Iguania,Anolis_carolinensis,56,56,9.83,NA,63.32,NA,NA,NA,NA
Anolis sagrei,Male,Dactyloidae,Iguania,Iguania,Anolis_sagrei,27,27,7.99,NA,58.13,16.27,NA,NA,NA
Acanthodactylus aureus,Male,Lacertidae,Lacertoidea,Scincomorpha,Acanthodactylus_aureus,3,3,5.83,NA,72.35,18.73,11.17,9.16,NA
Acanthodactylus erythrurus,Male,Lacertidae,Lacertoidea,Scincomorpha,Acanthodactylus_erythrurus,7,7,9.7,NA,72.5,17.75,11.65,9.27,NA
Iberolacerta monticola,Male,Lacertidae,Lacertoidea,Scincomorpha,Iberolacerta_monticola,6,6,12.91,NA,73.28,17.96,11.18,7.89,NA
Lacerta schreiberi,Male,Lacertidae,Lacertoidea,Scincomorpha,Lacerta_schreiberi,7,7,34.23,NA,95.57,24.58,17.01,13.22,NA
Zootoca vivipara,Male,Lacertidae,Lacertoidea,Scincomorpha,Zootoca_vivipara,8,8,2.29,NA,52.63,11.54,7.19,5.71,NA
Podarcis peloponnesiacus,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_peloponnesiacus,9,9,13.45,NA,75.5,19.66,11.83,9.67,NA
Psammodromus hispanicus,Male,Lacertidae,Lacertoidea,Scincomorpha,Psammodromus_hispanicus,6,6,2.26,NA,41.1,10.72,6.56,5.24,NA
Takydromus sexlineatus,Male,Lacertidae,Lacertoidea,Scincomorpha,Takydromus_sexlineatus,9,9,0.56,NA,54.45,13.73,6.24,5.43,NA
Tupinambis teguixin,Male,Teiidae,Lacertoidea,Gymnophthalmoidea,Tupinambis_teguixin,3,3,105,NA,317.33,NA,NA,NA,NA
Bradypodion caeruleogula,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_caeruleogula,6,6,6.14,NA,46.11,NA,NA,NA,NA
Bradypodion caffer,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_caffer,6,6,14.78,NA,61.96,NA,NA,NA,NA
Bradypodion damaranum,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_damaranum,19,19,24.01,NA,65.46,NA,NA,NA,NA
Bradypodion kentanicum,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_kentanicum,11,11,7.88,NA,51.02,NA,NA,NA,NA
Bradypodion nemorale,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_nemorale,4,4,9.26,NA,52.84,NA,NA,NA,NA
Bradypodion pumilum,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_pumilum,27,27,16.09,NA,62.07,NA,NA,NA,NA
Bradypodion setaroi,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_setaroi,7,7,10.93,NA,50.99,NA,NA,NA,NA
Bradypodion taeniabronchum,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_taeniabronchum,21,32,3.65,NA,50.13,NA,NA,NA,NA
Bradypodion thamnobates,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_thamnobates,25,13,30.4,NA,60.97,NA,NA,NA,NA
Bradypodion transvaalense,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_transvaalense,12,12,16.02,NA,60.26,NA,NA,NA,NA
Bradypodion ventrale,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_ventrale,8,8,9.46,NA,64.22,NA,NA,NA,NA
Bradypodion occidentale,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_occidentale,1,1,21.71,NA,71.98,NA,NA,NA,NA
