BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis coelestinus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,70,70,NA,NA,NA,NA,61.66,1.1,NA,NA,19.05,1.07,NA,NA,10.23,1.1,NA,NA,7.94,1.1,NA,NA,10,1.38,NA,NA,19.5,1.07,NA,NA,Yes1,Pleurodonta,Anolis_coelestinus,Non acrodont,16,11.38,62.76,NA,20.12,11.33,9.04,20.57
Anolis coelestinus,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,26,26,NA,NA,NA,NA,46.77,1.07,NA,NA,14.45,1.05,NA,NA,7.59,1.05,NA,NA,5.75,1.07,NA,NA,3.24,1.45,NA,NA,14.79,1.05,NA,NA,Yes1,Pleurodonta,Anolis_coelestinus,Non acrodont,16,4.69,47.84,NA,15.5,8.64,6.82,15.84
Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Female,38,38,NA,NA,NA,NA,48.62,3.17,NA,NA,14.44,0.83,NA,NA,8.36,0.54,NA,NA,6.37,0.45,NA,NA,2.53,0.74,NA,NA,14.54,1.01,NA,NA,Yes1,Pleurodonta,Anolis_cristatellus,Non acrodont,16,3.27,51.79,NA,15.27,8.9,6.82,15.55
Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Wittorski, et al., 2016",Dactyloidae,Male,52,52,NA,NA,NA,NA,68.57,4.01,NA,NA,19.82,1.1,NA,NA,12.01,0.86,NA,NA,9.19,0.62,NA,NA,7.53,1.73,NA,NA,20.22,1.15,NA,NA,Yes1,Pleurodonta,Anolis_cristatellus,Non acrodont,16,9.26,72.58,NA,20.92,12.87,9.81,21.37
Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,77,77,NA,NA,NA,NA,63.1,1.17,NA,NA,18.2,1.15,NA,NA,10.96,1.17,NA,NA,8.51,1.17,NA,NA,5.75,1.58,NA,NA,18.62,1.15,NA,NA,Yes1,Pleurodonta,Anolis_cristatellus,Non acrodont,16,7.33,64.27,NA,19.35,12.13,9.68,19.77
Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,54,54,NA,NA,NA,NA,46.77,1.1,NA,NA,14.13,1.07,NA,NA,8.13,1.07,NA,NA,6.31,1.07,NA,NA,2.24,1.35,NA,NA,14.13,1.07,NA,NA,Yes1,Pleurodonta,Anolis_cristatellus,Non acrodont,16,3.59,47.87,NA,15.2,9.2,7.38,15.2
Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Dufour, et al., 2018",Dactyloidae,Male,35,35,7.2,1.43,NA,10,60.56,3.71,NA,67.6,15.68,0.98,NA,17.76,11.45,0.74,NA,12.95,9.11,0.71,NA,10.27,21.1,4.71,NA,33.366,18.52,1.21,NA,20.68,Yes1,Pleurodonta,Anolis_cristatellus,Non acrodont,7,25.81,64.27,8.63,16.66,12.19,9.82,19.73
Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Dufour, et al., 2018",Dactyloidae,Female,18,18,2.1,0.26,NA,2.53,42.23,1.85,NA,45.22,10.97,0.58,NA,12.04,7.47,0.48,NA,8.07,6.33,0.45,NA,7.34,4.61,1.22,NA,7.906,12.75,0.5,NA,13.5,Yes1,Pleurodonta,Anolis_cristatellus,Non acrodont,7,5.83,44.08,2.36,11.55,7.95,6.78,13.25
Anolis cuvieri,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Male,10,10,NA,NA,NA,NA,131.83,1.05,NA,NA,42.66,1.05,NA,NA,21.88,1.07,NA,NA,19.05,1.07,NA,NA,72.44,1.35,NA,NA,41.69,1.05,NA,NA,Yes1,Pleurodonta,Anolis_cuvieri,Non acrodont,16,73.79,132.88,NA,43.71,22.95,20.12,42.74
Anolis cuvieri,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Meyer, et al., 2019",Dactyloidae,Female,9,9,NA,NA,NA,NA,123.03,1.05,NA,NA,39.81,1.05,NA,NA,19.5,1.07,NA,NA,17.78,1.07,NA,NA,48.98,1.29,NA,NA,38.02,1.05,NA,NA,Yes1,Pleurodonta,Anolis_cuvieri,Non acrodont,16,50.27,124.08,NA,40.86,20.57,18.85,39.07
