BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Liolaemus coeruleus,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,5,5,NA,NA,NA,NA,63.27,2.571478174,1.15,NA,12.41,0.514295635,0.23,NA,9.09,0.514295635,0.23,NA,5.6,0.447213595,0.2,NA,3.64,0.98386991,0.44,NA,12.91,0.737902433,0.33,NA,Yes1,Pleurodonta,Liolaemus_coeruleus,Non acrodont,10,4.62386991,65.84147817,NA,12.92429563,9.604295635,6.047213595,13.64790243
Liolaemus elongatus,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,7,7,NA,NA,NA,NA,74.84,4.735894847,1.79,NA,16.27,0.899555446,0.34,NA,10.53,0.555607775,0.21,NA,6.82,0.317490157,0.12,NA,8.57,1.587450787,0.6,NA,16.31,0.84664042,0.32,NA,Yes1,Pleurodonta,Liolaemus_elongatus,Non acrodont,10,10.15745079,79.57589485,NA,17.16955545,11.08560778,7.137490157,17.15664042
Liolaemus elongatus,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,9,9,NA,NA,NA,NA,63.13,6.54,2.18,NA,13.99,1.11,0.37,NA,8.94,0.69,0.23,NA,5.88,0.42,0.14,NA,6.19,1.62,0.54,NA,14.11,1.2,0.4,NA,Yes1,Pleurodonta,Liolaemus_elongatus,Non acrodont,10,7.81,69.67,NA,15.1,9.63,6.3,15.31
Liolaemus escarchadosi,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,4,4,NA,NA,NA,NA,79.64,2.6,1.3,NA,17.27,0.34,0.17,NA,11.22,0.36,0.18,NA,8.95,1.32,0.66,NA,10.41,2.34,1.17,NA,18.01,1.04,0.52,NA,Yes1,Pleurodonta,Liolaemus_escarchadosi,Non acrodont,10,12.75,82.24,NA,17.61,11.58,10.27,19.05
Liolaemus escarchadosi,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,2,2,NA,NA,NA,NA,68.29,1.286934342,0.91,NA,14.34,0.692964646,0.49,NA,8.81,0.622253967,0.44,NA,6,0.028284271,0.02,NA,4.88,NA,NA,NA,14.48,0.735391052,0.52,NA,Yes1,Pleurodonta,Liolaemus_escarchadosi,Non acrodont,10,4.88,69.57693434,NA,15.03296465,9.432253967,6.028284271,15.21539105
Liolaemus fitzingerii,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,4,4,NA,NA,NA,NA,93.55,7,3.5,NA,18.66,1.6,0.8,NA,12.76,1.56,0.78,NA,9.18,1.2,0.6,NA,14.27,4.84,2.42,NA,19.39,1.56,0.78,NA,Yes1,Pleurodonta,Liolaemus_fitzingerii,Non acrodont,10,19.11,100.55,NA,20.26,14.32,10.38,20.95
Liolaemus fitzingerii,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,6,6,NA,NA,NA,NA,89.93,5.976754972,2.44,NA,17.78,0.906311205,0.37,NA,11.46,0.661362231,0.27,NA,8.15,0.587877538,0.24,NA,10.7,1.371714256,0.56,NA,17.93,1.077775487,0.44,NA,Yes1,Pleurodonta,Liolaemus_fitzingerii,Non acrodont,10,12.07171426,95.90675497,NA,18.6863112,12.12136223,8.737877538,19.00777549
Liolaemus hatcheri,Neotropic,Terrestrial,Herbivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,7,7,NA,NA,NA,NA,59.18,2.989698982,1.13,NA,12.91,0.555607775,0.21,NA,9.18,0.661437828,0.25,NA,5.68,0.582065288,0.22,NA,3.89,0.820182906,0.31,NA,13.12,0.687895341,0.26,NA,Yes1,Pleurodonta,Liolaemus_hatcheri,Non acrodont,10,4.710182906,62.16969898,NA,13.46560778,9.841437828,6.262065288,13.80789534
Liolaemus hatcheri,Neotropic,Terrestrial,Herbivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,5,5,NA,NA,NA,NA,59.17,0.581377674,0.26,NA,11.61,0.357770876,0.16,NA,8.59,0.313049517,0.14,NA,5.29,0.201246118,0.09,NA,2.62,0.268328157,0.12,NA,11.97,0.335410197,0.15,NA,Yes1,Pleurodonta,Liolaemus_hatcheri,Non acrodont,10,2.888328157,59.75137767,NA,11.96777088,8.903049517,5.491246118,12.3054102
Liolaemus kingii,Neotropic,Terrestrial/Leaf Litter,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,3,3,NA,NA,NA,NA,73.78,4.174242446,2.41,NA,15.71,0.294448637,0.17,NA,10.57,0.848704896,0.49,NA,7.64,0.53693575,0.31,NA,8.95,1.576166235,0.91,NA,16.19,0.329089653,0.19,NA,Yes1,Pleurodonta,Liolaemus_kingii,Non acrodont,10,10.52616623,77.95424245,NA,16.00444864,11.4187049,8.17693575,16.51908965
Liolaemus kingii,Neotropic,Terrestrial/Leaf Litter,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,7,7,NA,NA,NA,NA,74.98,6.37626066,2.41,NA,14.94,1.005385498,0.38,NA,10.01,0.476235236,0.18,NA,6.91,0.502692749,0.19,NA,8.53,1.322875656,0.5,NA,15.56,0.899555446,0.34,NA,Yes1,Pleurodonta,Liolaemus_kingii,Non acrodont,10,9.852875656,81.35626066,NA,15.9453855,10.48623524,7.412692749,16.45955545
Liolaemus kolengh,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,7,7,NA,NA,NA,NA,55.53,3.333646652,1.26,NA,12.02,0.714352854,0.27,NA,8.85,0.661437828,0.25,NA,5.4,0.555607775,0.21,NA,2.58,0.793725393,0.3,NA,12.64,0.687895341,0.26,NA,Yes1,Pleurodonta,Liolaemus_kolengh,Non acrodont,10,3.373725393,58.86364665,NA,12.73435285,9.511437828,5.955607775,13.32789534
Liolaemus kolengh,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,4,4,NA,NA,NA,NA,56.66,1.76,0.88,NA,11.7,0.42,0.21,NA,8.45,0.3,0.15,NA,5.16,0.2,0.1,NA,2.35,0.34,0.17,NA,11.71,0.36,0.18,NA,Yes1,Pleurodonta,Liolaemus_kolengh,Non acrodont,10,2.69,58.42,NA,12.12,8.75,5.36,12.07
Liolaemus mapuche,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,11,11,NA,NA,NA,NA,78.96,4.709607202,1.42,NA,16.5,0.729657454,0.22,NA,11.65,0.596992462,0.18,NA,8.61,0.663324958,0.2,NA,10.57,2.586967336,0.78,NA,17.22,0.762823702,0.23,NA,Yes1,Pleurodonta,Liolaemus_mapuche,Non acrodont,10,13.15696734,83.6696072,NA,17.22965745,12.24699246,9.273324958,17.9828237
Liolaemus mapuche,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,5,5,NA,NA,NA,NA,71.01,4.516857315,2.02,NA,14.18,0.536656315,0.24,NA,9.95,0.268328157,0.12,NA,7.32,0.626099034,0.28,NA,6.49,1.475804865,0.66,NA,14.62,0.581377674,0.26,NA,Yes1,Pleurodonta,Liolaemus_mapuche,Non acrodont,10,7.965804865,75.52685731,NA,14.71665631,10.21832816,7.946099034,15.20137767
Liolaemus morenoi,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,6,6,NA,NA,NA,NA,67.23,1.690147923,0.69,NA,14.53,0.342928564,0.14,NA,10.04,0.416413256,0.17,NA,7.09,0.171464282,0.07,NA,8.92,1.200249974,0.49,NA,14.79,0.465403051,0.19,NA,Yes1,Pleurodonta,Liolaemus_morenoi,Non acrodont,10,10.12024997,68.92014792,NA,14.87292856,10.45641326,7.261464282,15.25540305
Liolaemus morenoi,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,7,7,NA,NA,NA,NA,69.03,3.413019191,1.29,NA,14.22,0.529150262,0.2,NA,9.92,0.42332021,0.16,NA,7.05,0.158745079,0.06,NA,9.09,0.952470472,0.36,NA,14.48,0.634980315,0.24,NA,Yes1,Pleurodonta,Liolaemus_morenoi,Non acrodont,10,10.04247047,72.44301919,NA,14.74915026,10.34332021,7.208745079,15.11498031
Liolaemus petrophilus,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,2,2,NA,NA,NA,NA,90.63,5.317442995,3.76,NA,19.87,2.078893937,1.47,NA,13.31,1.032375901,0.73,NA,7.93,0.579827561,0.41,NA,10.53,NA,NA,NA,21.5,2.107178208,1.49,NA,Yes1,Pleurodonta,Liolaemus_petrophilus,Non acrodont,10,10.53,95.94744299,NA,21.94889394,14.3423759,8.509827561,23.60717821
Liolaemus petrophilus,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,7,7,NA,NA,NA,NA,78.46,7.011240974,2.65,NA,17.89,1.269960629,0.48,NA,11.22,1.031843011,0.39,NA,6.79,0.899555446,0.34,NA,6.77,2.698666337,1.02,NA,18.42,1.587450787,0.6,NA,Yes1,Pleurodonta,Liolaemus_petrophilus,Non acrodont,10,9.468666337,85.47124097,NA,19.15996063,12.25184301,7.689555446,20.00745079
Liolaemus rothi,Neotropic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,3,3,NA,NA,NA,NA,79.35,8.452407941,4.88,NA,16.55,1.091192009,0.63,NA,12.32,1.299038106,0.75,NA,8.48,0.588897275,0.34,NA,5.76,1.143153533,0.66,NA,18.1,1.26439709,0.73,NA,Yes1,Pleurodonta,Liolaemus_rothi,Non acrodont,10,6.903153533,87.80240794,NA,17.64119201,13.61903811,9.068897275,19.36439709
Liolaemus rothi,Neotropic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,3,3,NA,NA,NA,NA,80.9,11.74330448,6.78,NA,17.1,2.25166605,1.3,NA,12.33,2.043819953,1.18,NA,8.19,1.299038106,0.75,NA,5.27,1.939896904,1.12,NA,18.47,2.442191639,1.41,NA,Yes1,Pleurodonta,Liolaemus_rothi,Non acrodont,10,7.209896904,92.64330448,NA,19.35166605,14.37381995,9.489038106,20.91219164
Liolaemus sarmientoi,Neotropic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,4,4,NA,NA,NA,NA,72.81,7.1,3.55,NA,15.43,1.52,0.76,NA,10.5,1.36,0.68,NA,7.81,1.3,0.65,NA,7.12,2.02,1.01,NA,16.34,1.7,0.85,NA,Yes1,Pleurodonta,Liolaemus_sarmientoi,Non acrodont,10,9.14,79.91,NA,16.95,11.86,9.11,18.04
Liolaemus sarmientoi,Neotropic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,2,2,NA,NA,NA,NA,74.7,0.296984848,0.21,NA,15.11,NA,NA,NA,10.11,0.410121933,0.29,NA,7.67,0.240416306,0.17,NA,5.46,0.537401154,0.38,NA,15.95,0.014142136,0.01,NA,Yes1,Pleurodonta,Liolaemus_sarmientoi,Non acrodont,10,5.997401154,74.99698485,NA,15.11,10.52012193,7.910416306,15.96414214
Liolaemus tenuis,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,4,4,NA,NA,NA,NA,53.03,4.32,2.16,NA,12.98,0.94,0.47,NA,8.62,0.7,0.35,NA,5.3,0.7,0.35,NA,5.22,0.68,0.34,NA,13.44,1.12,0.56,NA,Yes1,Pleurodonta,Liolaemus_tenuis,Non acrodont,10,5.9,57.35,NA,13.92,9.32,6,14.56
Liolaemus tenuis,Neotropic,Arboreal,Carnivorous,Arboreal,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,3,3,NA,NA,NA,NA,51.91,4.728498705,2.73,NA,12.15,0.848704896,0.49,NA,7.34,0.381051178,0.22,NA,4.79,0.381051178,0.22,NA,3.73,0.53693575,0.31,NA,12.04,0.762102355,0.44,NA,Yes1,Pleurodonta,Liolaemus_tenuis,Non acrodont,10,4.26693575,56.6384987,NA,12.9987049,7.721051178,5.171051178,12.80210236
Liolaemus xanthoviridis,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,5,5,NA,NA,NA,NA,82.39,8.452336955,3.78,NA,16.81,1.274558747,0.57,NA,11.39,1.162755348,0.52,NA,7.99,0.96150923,0.43,NA,11.83,2.660920893,1.19,NA,17.3,1.296919427,0.58,NA,Yes1,Pleurodonta,Liolaemus_xanthoviridis,Non acrodont,10,14.49092089,90.84233695,NA,18.08455875,12.55275535,8.95150923,18.59691943
Liolaemus xanthoviridis,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,2,2,NA,NA,NA,NA,84.17,3.337544007,2.36,NA,16.84,0.692964646,0.49,NA,10.7,1.018233765,0.72,NA,7.73,0.876812409,0.62,NA,10.27,0.90509668,0.64,NA,16.6,0.763675324,0.54,NA,Yes1,Pleurodonta,Liolaemus_xanthoviridis,Non acrodont,10,11.17509668,87.50754401,NA,17.53296465,11.71823376,8.606812409,17.36367532
Liolaemus zullyae,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,5,5,NA,NA,NA,NA,68.33,6.484597135,2.9,NA,15.95,1.073312629,0.48,NA,10.62,0.737902433,0.33,NA,7.75,0.626099034,0.28,NA,7.83,1.811215062,0.81,NA,16.57,0.916787871,0.41,NA,Yes1,Pleurodonta,Liolaemus_zullyae,Non acrodont,10,9.641215062,74.81459713,NA,17.02331263,11.35790243,8.376099034,17.48678787
Liolaemus zullyae,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,3,3,NA,NA,NA,NA,66.5,5.40399852,3.12,NA,14.03,1.35099963,0.78,NA,9.42,0.762102355,0.44,NA,6.94,0.571576766,0.33,NA,4.86,1.056550993,0.61,NA,14.66,1.610807251,0.93,NA,Yes1,Pleurodonta,Liolaemus_zullyae,Non acrodont,10,5.916550993,71.90399852,NA,15.38099963,10.18210236,7.511576766,16.27080725
Mochlus sundevallii,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,10,10,9.83,6.55,NA,NA,83.64,18.88,NA,NA,12.4,2.4,NA,NA,7.68,1.55,NA,NA,6.2,1.19,NA,NA,12.33,6.45,NA,NA,12.64,2.29,NA,NA,Yes1,Scincoidea,Mochlus_sundevallii,Non acrodont,14,18.78,102.52,16.38,14.8,9.23,7.39,14.93
Ouroborus cataphractus,Afrotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,Broeckhoven & Mouton 2014,Cordylidae,Male,19,19,NA,NA,NA,NA,105.03,6.02,NA,NA,29.08,1.67,NA,NA,27.54,2.02,NA,NA,14.01,0.89,NA,NA,58.01,13.34,NA,NA,28.64,1.41,NA,NA,Yes1,Scincoidea,Ouroborus_cataphractus,Non acrodont,16,71.35,111.05,NA,30.75,29.56,14.9,30.05
Ouroborus cataphractus,Afrotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,Broeckhoven & Mouton 2014,Cordylidae,Female,20,20,NA,NA,NA,NA,100,4.13,NA,NA,27.05,1.23,NA,NA,24.81,1.24,NA,NA,12.92,0.6,NA,NA,40.09,7.39,NA,NA,26.52,1.49,NA,NA,Yes1,Scincoidea,Ouroborus_cataphractus,Non acrodont,16,47.48,104.13,NA,28.28,26.05,13.52,28.01
Stellagama stellio,Paleartic,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, 2007",Agamidae,Male,4,4,NA,NA,NA,NA,95.79,7.28,NA,NA,23.64,0.79,NA,NA,23.42,0.84,NA,NA,12.93,0.75,NA,NA,22.23,5.01,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Stellagama_stellio,Acrodont,18,27.24,103.07,NA,24.43,24.26,13.68,NA
Podarcis liolepis,Paleartic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Male,6,6,NA,NA,NA,NA,63.7,1.4,NA,NA,16,0.4,NA,NA,9.1,0.3,NA,NA,7.2,0.5,NA,NA,7.8,1.4,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_liolepis,Non acrodont,18,9.2,65.1,NA,16.4,9.4,7.7,NA
Podarcis liolepis,Paleartic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Female,9,9,NA,NA,NA,NA,58.4,1.8,NA,NA,12.8,0.6,NA,NA,7,0.3,NA,NA,5.4,0.2,NA,NA,2.6,0.2,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_liolepis,Non acrodont,18,2.8,60.2,NA,13.4,7.3,5.6,NA
Podarcis erhardii,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Donihue, et al., 2016",Lacertidae,Male,187,187,6.6,1.5,NA,11.1,63.67,4.65,NA,81.68,15.08,1.15,NA,17.7,9.91,0.98,NA,12.3,7.54,0.7,NA,9.7,10.54,2.82,NA,21.34,12.32,1.1,NA,15.35,Yes1,Lacertoidea,Podarcis_erhardii,Non acrodont,7,13.36,68.32,8.1,16.23,10.89,8.24,13.42
Podarcis erhardii,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Donihue, et al., 2016",Lacertidae,Female,160,160,4.7,1.26,NA,8,61.39,5.24,NA,74.27,12.74,5.24,NA,14.81,8.19,0.65,NA,10,6.42,0.62,NA,8.1,5.5,1.8,NA,14.14,10.53,0.86,NA,12.72,Yes1,Lacertoidea,Podarcis_erhardii,Non acrodont,7,7.3,66.63,5.96,17.98,8.84,7.04,11.39
Podarcis hispanicus,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Male,10,10,NA,NA,NA,NA,55.4,4.1,NA,NA,14.3,1,NA,NA,8.4,0.6,NA,NA,5.9,0.6,NA,NA,4.3,1.1,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_hispanicus,Non acrodont,18,5.4,59.5,NA,15.3,9,6.5,NA
Podarcis hispanicus,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Female,17,17,NA,NA,NA,NA,53.8,3,NA,NA,12.1,0.6,NA,NA,7,0.5,NA,NA,4.9,0.4,NA,NA,2.1,0.5,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_hispanicus,Non acrodont,18,2.6,56.8,NA,12.7,7.5,5.3,NA
Podarcis lilfordi,Paleartic,Terrestrial,Omnivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Female,14,14,NA,NA,NA,NA,60.7,3,NA,NA,14.9,1.1,NA,NA,8.5,0.8,NA,NA,6.5,0.6,NA,NA,6,1.5,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_lilfordi,Non acrodont,18,7.5,63.7,NA,16,9.3,7.1,NA
Podarcis lilfordi,Paleartic,Terrestrial,Omnivorous,Other,Other,Other,"Herrel, 2007",Lacertidae,Male,8,8,NA,NA,NA,NA,62.08,2.57,NA,NA,16.44,1.34,NA,NA,9.63,0.84,NA,NA,7.71,0.83,NA,NA,10.71,0.81,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Podarcis_lilfordi,Non acrodont,18,11.52,64.65,NA,17.78,10.47,8.54,NA
Podarcis melisellensis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen, et al., 2002",Lacertidae,Male,25,25,NA,NA,NA,NA,60.9,4.3,NA,NA,14.9,1.1,NA,NA,8,0.7,NA,NA,6.3,0.7,NA,NA,6.7,1.4,NA,NA,16.3,1,NA,NA,Yes1,Lacertoidea,Podarcis_melisellensis,Non acrodont,16,8.1,65.2,NA,16,8.7,7,17.3
Podarcis melisellensis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen, et al., 2002",Lacertidae,Female,13,13,NA,NA,NA,NA,51.3,2.4,NA,NA,11.5,0.4,NA,NA,6,0.3,NA,NA,4.7,0.3,NA,NA,2.4,0.3,NA,NA,12.8,0.5,NA,NA,Yes1,Lacertoidea,Podarcis_melisellensis,Non acrodont,16,2.7,53.7,NA,11.9,6.3,5,13.3
Podarcis melisellensis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen, et al., 2002",Lacertidae,Sub-Adult,17,17,NA,NA,NA,NA,43.4,4.5,NA,NA,10.4,0.9,NA,NA,5.3,0.5,NA,NA,4.1,0.5,NA,NA,1.6,0.6,NA,NA,11.3,1,NA,NA,Yes1,Lacertoidea,Podarcis_melisellensis,Non acrodont,16,2.2,47.9,NA,11.3,5.8,4.6,12.3
Podarcis melisellensis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Huyghe, et al., 2007b",Lacertidae,Male,148,64,5.31,1.94648401,0.16,NA,64.67,2.798070764,0.23,NA,15.13,0.608276253,0.05,NA,9.04,0.608276253,0.05,NA,7.2,0.608276253,0.05,NA,13.98,2.72,0.34,NA,16.19,0.851586754,0.07,NA,Maybe,Lacertoidea,Podarcis_melisellensis,Non acrodont,7,16.7,67.46807076,7.25648401,15.73827625,9.648276253,7.808276253,17.04158675
Podarcis muralis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel et al., 2001b",Lacertidae,Female,21,21,4.4,1.46,NA,NA,55.55,6.35,NA,NA,12,1.05,NA,NA,6.9,0.59,NA,NA,5.36,0.58,NA,NA,11.85,1.72,NA,NA,11.85,1.72,NA,NA,Yes1,Lacertoidea,Podarcis_muralis,Non acrodont,14,13.57,61.9,5.86,13.05,7.49,5.94,13.57
Podarcis muralis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel et al., 2001b",Lacertidae,Male,16,16,4.73,1.29,NA,NA,56.25,5.56,NA,NA,14.08,1.3,NA,NA,7.95,0.75,NA,NA,6.31,0.77,NA,NA,6.52,3.01,NA,NA,13.53,1.66,NA,NA,Yes1,Lacertoidea,Podarcis_muralis,Non acrodont,14,9.53,61.81,6.02,15.38,8.7,7.08,15.19
Podarcis muralis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"MacGregor, et al., 2016",Lacertidae,Male,30,30,6.27,1.38,NA,8.75,62.1,4.06,NA,71,16.31,1.22,NA,19,7.96,0.66,NA,9,NA,NA,NA,NA,7.6,2.96,NA,13.64,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_muralis,Non acrodont,13,10.56,66.16,7.65,17.53,8.62,NA,NA
Podarcis muralis,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen & Van Damme, 2007",Lacertidae,Male,9,9,NA,NA,NA,NA,59.34,NA,NA,NA,15.63,NA,NA,NA,8.94,NA,NA,NA,6.52,NA,NA,NA,6.42,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Podarcis_muralis,Non acrodont,23,6.42,59.34,NA,15.63,8.94,6.52,NA
Podarcis peloponnesiacus,Paleartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen & Van Damme, 2007",Lacertidae,Male,9,9,NA,NA,NA,NA,75.5,NA,NA,NA,19.66,NA,NA,NA,11.83,NA,NA,NA,9.67,NA,NA,NA,13.45,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Podarcis_peloponnesiacus,Non acrodont,23,13.45,75.5,NA,19.66,11.83,9.67,NA
Podarcis siculus,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2008",Lacertidae,Male,NA,NA,6.38,1.42,NA,NA,69.54,2.86,NA,NA,16.33,0.77,NA,NA,9.13,0.42,NA,NA,7.35,0.43,NA,NA,11.25,2.42,NA,NA,17.45,0.72,NA,NA,Maybe,Lacertoidea,Podarcis_siculus,Non acrodont,16,13.67,72.4,7.8,17.1,9.55,7.78,18.17
Podarcis siculus,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2008",Lacertidae,Female,NA,NA,4.72,1.24,NA,NA,64.08,2.93,NA,NA,13.75,0.64,NA,NA,7.51,0.38,NA,NA,5.95,0.38,NA,NA,6.7,1.9,NA,NA,14.44,0.71,NA,NA,Maybe,Lacertoidea,Podarcis_siculus,Non acrodont,16,8.6,67.01,5.96,14.39,7.89,6.33,15.15
Podarcis tiliguerta,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Male,18,18,NA,NA,NA,NA,55.1,4.9,NA,NA,14.6,1.3,NA,NA,7.9,1,NA,NA,6,0.9,NA,NA,3.6,1.4,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_tiliguerta,Non acrodont,18,5,60,NA,15.9,8.9,6.9,NA
Podarcis tiliguerta,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Female,11,11,NA,NA,NA,NA,50.1,4.1,NA,NA,11.4,0.7,NA,NA,6.1,0.4,NA,NA,4.6,0.6,NA,NA,1.1,0.4,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Podarcis_tiliguerta,Non acrodont,18,1.5,54.2,NA,12.1,6.5,5.2,NA
Pogona vitticeps,Australasia,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Jones, et al., 2020",Agamidae,Male,11,11,234.68,45.47092588,13.71,NA,187.82,14.06248911,4.24,NA,46.37,3.183959799,0.96,NA,41.48,3.183959799,0.96,NA,28.11,2.752798576,0.83,NA,71.46,21.42539615,6.46,NA,56.31,4.079448492,1.23,NA,Yes1,Acrodonta,Pogona_vitticeps,Acrodont,7,92.88539615,201.8824891,280.1509259,49.5539598,44.6639598,30.86279858,60.38944849
